architectures,num_params,nn_mapes,uncertanties_mape_nn,proj_mapes,uncertanties_mape_proj,nn_rmses, uncertanties_rmse_nn,proj_rmses,uncertanties_rmse_proj
"[1, 1]",23,298.7401600107832,,277.08784009953234,,0.2606526690485973,,0.23014049102281517,
"[2, 2]",48,234.21687648902406,,217.07695224728042,,0.223720893290559,,0.2000182317451231,
"[4, 4]",104,193.34630138057435,,189.86345866092975,,0.1620794787604088,,0.154478661362927,
"[6, 6]",168,70.73522555473913,,69.41730309897147,,0.07676419470312597,,0.07234546320668613,
"[8, 8]",240,42.40926210265014,,41.22702841927602,,0.06753572963480876,,0.06500960058374505,
"[12, 12]",408,64.86683453346215,,63.93171743704713,,0.06038359717565098,,0.05819069933400395,
"[18, 18]",720,37.80632426230863,,37.148529183150345,,0.05104807605293379,,0.049796762309169865,
"[26, 26]",1248,24.89103924617997,,23.1887854385101,,0.03581814101563725,,0.034240981306207674,
"[37, 37]",2183,27.616689033777885,,27.36283551173118,,0.03637829312984188,,0.035511819762437814,
"[54, 54]",4104,24.26391748475787,,23.87795713068934,,0.03157097835437543,,0.030868005311884557,
"[78, 78]",7800,18.869973589108515,,18.604891050177528,,0.03194032416215142,,0.031208548579939332,
"[112, 112]",15008,19.162929364250992,,18.66072663539465,,0.0293820467396673,,0.028979964100696066,
"[162, 162]",29808,10.30078770752679,,10.023105422363463,,0.024688950814492388,,0.024351078201802576,
"[233, 233]",59415,10.853598395314844,,10.653356903779693,,0.02228804537714354,,0.02219337176747618,
"[335, 335]",119595,10.054655704724802,,9.897419470100848,,0.024843841888808706,,0.024647019882403778,
"[483, 483]",243915,10.045656215152299,,9.898411926979412,,0.022141300796579978,,0.02204592780787557,
"[695, 695]",498315,5.825586352980232,,5.699172881725818,,0.021185390505000172,,0.021177221412670446,
"[1000, 1000]",1022000,5.708832151444187,,5.590274967898475,,0.021698411583610203,,0.02172802494137366,
