architectures,dataset_sizes,loki_computation_time,nn_training_time,nn_evaluation_time,proj_evaluation_time,rmse_nn_overall,rmse_proj_nn_overall,specific_outputs,mean_rmse_nn_specific,mean_rmse_proj_nn_specific
"[50, 50]",20,467.8,324.22549700737,0.013012409210205078,48.990485429763794,0.22506928530932782,0.21057924985334792,"['O2(X)', 'O2(+,X)', 'ne']",0.18962530560598734,0.08040762842168982
"[50, 50]",50,1169.5,512.2873859405518,0.018005847930908203,47.71442770957947,0.11321661448328227,0.10717404239751742,"['O2(X)', 'O2(+,X)', 'ne']",0.0969304992748438,0.04814042698123535
"[50, 50]",100,2339.0,756.6718058586121,0.018024921417236328,47.18294835090637,0.08139212745249624,0.07754818415850227,"['O2(X)', 'O2(+,X)', 'ne']",0.06903484195122274,0.03796264349518505
"[50, 50]",200,4678.0,858.189418554306,0.012508630752563477,47.092872858047485,0.0631528911766189,0.06102003583178395,"['O2(X)', 'O2(+,X)', 'ne']",0.049687932151410735,0.03005389833356249
"[50, 50]",400,9356.0,4054.9200303554535,0.019520998001098633,68.08156609535217,0.04350736822782235,0.04239547976871409,"['O2(X)', 'O2(+,X)', 'ne']",0.030568699732678284,0.01947980185485135
"[50, 50]",600,14034.0,4616.920079946518,0.020186424255371094,67.96718502044678,0.03786711649094575,0.03690392969773474,"['O2(X)', 'O2(+,X)', 'ne']",0.02697838860631363,0.01762917108584067
"[50, 50]",800,18712.0,3609.5310451984406,0.019585609436035156,56.147671937942505,0.03168606766633783,0.03104658042956266,"['O2(X)', 'O2(+,X)', 'ne']",0.020228382148104615,0.013500024047767427
"[50, 50]",1000,23390.0,3549.838497400284,0.018309593200683594,59.49610161781311,0.029233920421532424,0.028581778838732207,"['O2(X)', 'O2(+,X)', 'ne']",0.019596606372147617,0.012956097091838448
"[50, 50]",1500,35085.0,11259.972601890564,0.01917552947998047,60.964313983917236,0.0229390108096212,0.022467351526989428,"['O2(X)', 'O2(+,X)', 'ne']",0.015425775289852043,0.010607350026630059
"[50, 50]",2000,46780.0,39809.609481573105,0.017734527587890625,56.801003217697144,0.02005730524157358,0.019700558486666717,"['O2(X)', 'O2(+,X)', 'ne']",0.013365103661613954,0.009619892802104039
"[50, 50]",2500,58475.0,36108.09801030159,0.018783092498779297,50.34050393104553,0.018506127442018,0.018154210032847208,"['O2(X)', 'O2(+,X)', 'ne']",0.012681719921557602,0.009038502911647565
